이름,주차가능대수,위도,경도
서대4제2공영,12,35.117558,129.012274
시약로공영,20,35.11864534,129.0135839
구덕꽃마을공영,125,35.12709753,129.0077639
서대4제1공영,19,35.121258,129.015146
아미제2공영,11,35.10142254,129.0187487
아미골공영,62,35.09916475,129.0136227
아미까치공영,69,35.095323,129.020626
아미초등학교지하공영,76,35.09877555,129.0155897
등대로공영,48,35.08086932,129.0249644
암남동제1공영,38,35.076074,129.022971
암남동제7공영,36,35.07549432,129.0161189
송도공영,49,35.07374199,129.0157119
암남동제8공영,50,35.07219403,129.0164542
암남공원공영,327,35.0799261,129.0212884
서구 원양로제2공영,24,35.068421,129.008761
서구 원양로제1공영,81,35.071491,129.006745
초장동제1공영,36,35.093053,129.018806
초장동제2공영,37,35.09448887,129.0203715
충무동골목시장공영,13,35.103343,129.017765
충무동제7공영,8,35.09594124,129.0261031
충무동제5공영,14,35.09999115,129.0239548
충무동제2공영,21,35.10070591,129.0197881
광안리해수욕장 공영주차장,54,35.15143053,129.1160952
남천1동 공영주차장,66,35.13985428,129.1091737
망미동노외공영주차장,171,35.17031496,129.096892
민락수변공원 공영주차장,43,35.15480612,129.1324395
민락매립지 공영주차장,128,35.15488069,129.1271746
민락해변공원 공영주차장,26,35.15397219,129.1245132
태경선샤인아파트 앞 공영주차장,22,35.19792748,129.0792061
과정 공영주차장,53,35.18707007,129.098859
시티타워 뒤 공영주차장,11,35.189578,129.0801574
황금로 공영주차장,54,35.17046555,129.0951485
연산3동 금련 공영주차장,131,35.17162666,129.0947708
연미노외공영주차장,24,35.17374136,129.0950481
한양아파트 앞 공영주차장,70,35.18917144,129.1065444
연일 공동주차장,23,35.18446948,129.084383
연제문화체육공원 공영주차장,17,35.18471436,129.090531
남항시장,66,35.08826833,129.0407422
선용품유통센터앞,26,35.08909927,129.0392675
남항방파제,123,35.08558483,129.034834
토토볼링장앞,24,35.08988328,129.0358092
태종대유원지부설주차장,953,35.062149,129.0820953
하수종말처리장옆,66,35.08648588,129.0759224
청학스카이웨이,45,35.0902062,129.0593647
영도중학교옆,20,35.077534,129.0692786
75광장앞,19,35.0716713,129.0573621
영도해녀문화전시관,28,35.06700302,129.0660428
하늘전망대앞,28,35.07447027,129.0541446
봉래동물양장,48,35.09453741,129.0387845
인제병원앞,25,35.0947933,129.0413566
봉래시장,23,35.0929268,129.0438271
유정아파트,20,35.09266318,129.0552642
신선하나,42,35.09054756,129.0477633
신선동,25,35.08705236,129.0467623
신선스카이웨이,49,35.086553,129.0483665
절영해안산책로앞,122,35.0811807,129.0412093
청학동로,22,35.09243615,129.0634763
태종보세장치장옆,56,35.0910889,129.0718759
해양로변,24,35.09221782,129.0704607
청학시장,26,35.0968306,129.0592136
청학하나,57,35.09680071,129.0592793
청학초등학교,105,35.09320301,129.0595046
청학1동,40,35.09140058,129.056113
해돋이마을,22,35.0904128,129.0568423
청학2동,53,35.08920619,129.0622152
자갈치시장 앞 공영주차장,30,35.09661444,129.0305818
건어물시장 공영주차장,8,35.09690735,129.0333216
자갈치 공영주차장,149,35.09640999,129.0259978
용두산 공영주차장,292,35.10261908,129.0329941
대청 공영주차장,78,35.10752381,129.0296287
신한은행부산금융센터 뒤 공영주차장,13,35.09943536,129.0356169
보수 공영주차장,34,35.10383268,129.027901
보수종합시장 공영주차장,10,35.10433701,129.0223121
광복로 부평동구간 공영주차장,17,35.09959194,129.0264889
부평 공영주차장,85,35.1011038,129.0261842
보수복개천 공영주차장,24,35.10052083,129.0239679
신창 공영주차장,44,35.10254078,129.0286322
국제시장로 1구간 공영주차장,29,35.10069047,129.0280513
영주 공영주차장,43,35.11080554,129.0321228
부산데파트 뒤 공영주차장,74,35.10268883,129.035496
유창빌딩 앞 공영주차장,20,35.10416706,129.0367654
중앙동 공영주차장,29,35.10590119,129.0352469
부산우체국 뒤 공영주차장,42,35.10459875,129.0353154
중앙동 마린센터 공영주차장,45,35.11153694,129.0390106
중앙동 KT 뒤 공영주차장,56,35.11134658,129.0385408
중부소방서 뒤 공영주차장,41,35.10898626,129.0374249
